mensaje,etiqueta_real
"Has ganado un premio exclusivo, haz clic aquí",🚨 FRAUDE/ESTAFA
"Tu cuenta ha sido suspendida, ingresa tus datos para restaurarla",🚨 FRAUDE/ESTAFA
Reclama tu bono antes de las 24 horas,🚨 FRAUDE/ESTAFA
"Hola, ¿cómo estás?",✅ Seguro
Nos vemos mañana en la reunión,✅ Seguro
Este es el reporte que pediste,✅ Seguro
Te envié el archivo por correo,✅ Seguro
Última oportunidad para ganar un iPhone gratis,🚨 FRAUDE/ESTAFA
Evita el bloqueo de tu cuenta accediendo aquí,🚨 FRAUDE/ESTAFA
Tu saldo ha sido acreditado correctamente,✅ Seguro
